President,ABN,ABX,AP,AT,BE,BED,BEDZ,BEG,BEM,BEN,BER,BEZ,CC,CD,CS,DO,DOD,DOZ,DT,DTI,DTS,EX,HV,HVD,HVG,HVZ,IN,JJ,JJR,JJS,JJT,MD,NIL,NN,NN$,NNS,NP,NP$,NPS,NR,OD,PN,PP$,PPLS,PPO,PPS,PPSS,QL,QLP,RB,RBR,RN,RP,TO,UH,VB,VBD,VBG,VBN,VBZ,WDT.,WP$,WPS,WQL,WRB
obama1017a.txt,0.0025528,0,0.01299596,0.05268083,0.0027849,0.00069622,0.0037132,0.00023207,0,0.0011604,0.00673014,0.00696214,0.0317938,0.01346009,0.02135066,0.0055697,0.00116036,0.00116036,0.01485259,0.00116036,0.0027848,0.00046414,0.00580177,0.00046414,0.00023207,0.0016245,0.07240551,0.01926205,0.00092829,0,0.00069621,0.01717339,0.00023207,0.08702741,0,0.03550703,0.01113955,0,0.00116036,0.003249,0.00139243,0.0037131,0.0201904,0.00023207,0.01694124,0.01044319,0.06498008,0.00696216,0,0.03411459,0.00116035,0.00046414,0.00812241,0.025528,0.00046414,0.06033881,0.01856561,0.01578093,0.00371318,0.0037131,0.00626599,0,0.00812249,0.00023207,0.00626599
obama1019.txt,0.00284006,0,0.01167564,0.06563651,0.0025245,0.00031556,0.0012622,0.00031556,0,0.0018933,0.0066267,0.00852006,0.0236666,0.00978226,0.02051126,0.0059956,0.00063112,0.00220891,0.013569,0.00284001,0.00189334,0.00126223,0.0066267,0,0,0.0031556,0.06405829,0.0274534,0.00031556,0,0.00126224,0.01262231,0.00031556,0.09719119,0,0.03755123,0.00946666,0,0.00063111,0.0012622,0.00189334,0.00599562,0.01293793,0,0.01672456,0.01420008,0.04985837,0.00504888,0.00031556,0.02461339,0.00284001,0.00063111,0.00599555,0.024613,0.00031556,0.05680011,0.01325332,0.01420008,0.0037867,0.00599561,0.00410227,0,0.00820446,0.00031556,0.00915117
obama1022debate3.txt,0.00194219,0.00045699,0.00571236,0.05061097,0.0036559,0.0034274,0.0031989,0.00057123,0.01382374,0.0030847,0.0076545,0.011996,0.03438777,0.00582662,0.03712983,0.0037701,0.0014852,0.00045699,0.01153889,0.00148519,0.0045699,0.0014852,0.0145093,0.0028562,0.00057123,0.0023992,0.07311744,0.02753327,0.00079973,0,0.00137097,0.01096778,0.0156513,0.06831949,0,0.02627665,0.01131039,0,0.001371,0.00182792,0.00137094,0.00182795,0.01542334,0.00011425,0.01016804,0.00822584,0.0606656,0.00388436,0,0.03130348,0.00068548,0.0029704,0.00342745,0.022392,0.0012567,0.03781569,0.00971096,0.01416663,0.0068549,0.00262766,0.0070833,0,0.0086827,0,0.00833997
obama1023a.txt,0.00238947,0,0.00866194,0.0543607,0.0035842,0.00029869,0.0035842,0.00059737,0.00029869,0.0023895,0.0053763,0.0068698,0.0277776,0.01075266,0.02389479,0.0092593,0.00179209,0.00089606,0.01344079,0.00388296,0.00209079,0.00358427,0.005675,0.0014934,0.00029869,0.0023895,0.07138635,0.0244921,0.00089606,0,0.00089606,0.01553154,0,0.07138556,0,0.03643957,0.01583027,0.00059738,0.00059737,0.0029868,0.00089607,0.00507761,0.01702516,0.00029869,0.01941455,0.0152331,0.06152963,0.0059737,0,0.0385304,0.00179212,0,0.0074672,0.025388,0.00029869,0.06361987,0.00955792,0.01284343,0.0041816,0.00388294,0.00746713,0,0.00716847,0.00059737,0.0062723
obama1024a.txt,0.00239645,0,0.00650455,0.0534068,0.0017117,0.00034235,0.0013694,0,0.00034235,0.0023964,0.0085587,0.00787405,0.032181,0.0106127,0.02841495,0.007874,0.00034235,0.00239645,0.01643275,0.0030811,0.0006847,0.0017117,0.0054776,0.0006847,0,0.0013694,0.0701815,0.02362195,0.0006847,0,0.0006847,0.01437855,0,0.06675755,0,0.03800055,0.01540565,0.00034235,0.00034235,0.0037658,0.0013694,0.00376585,0.01917145,0,0.0178021,0.008901,0.068812,0.00581995,0,0.03971205,0.00205405,0.00034235,0.01027045,0.025334,0,0.06093745,0.0130091,0.0188292,0.00479285,0.00342345,0.00547755,0,0.0095858,0.0006847,0.0058199
obama1024b.txt,0.0023492,0,0.00783085,0.0481601,0.0023493,0.00039154,0.00039154,0,0.00078309,0.0011746,0.010963,0.00783084,0.0293653,0.01018008,0.02310092,0.0062647,0.00156614,0,0.01370394,0.0046985,0.00078308,0.00117463,0.00352384,0,0,0.0019577,0.06577944,0.02114325,0.00039154,0,0.00117462,0.01605318,0,0.06577902,0,0.03719645,0.01135467,0.00039154,0,0.0035239,0.0011746,0.00391539,0.018794,0,0.0227095,0.01096319,0.07086927,0.00509001,0.00039154,0.0336726,0.00234929,0.00039154,0.00978858,0.029757,0.00039154,0.07047756,0.01370397,0.01879418,0.00626471,0.00274079,0.00665624,0,0.00978864,0,0.00587319
obama1025.txt,0.00291735,0.00032415,0.00745545,0.05089135,0.0019449,0.0006483,0.0016207,0,0,0.0012966,0.0097245,0.00907615,0.0304697,0.01069695,0.02269035,0.0068071,0.0006483,0.0006483,0.01685575,0.0038898,0.00259315,0.0006483,0.00615885,0,0,0.00097245,0.07098875,0.02690425,0.00032415,0,0.00097245,0.01329005,0,0.0726095,0,0.0388978,0.0081037,0.00032415,0.00032415,0.0029173,0.0006483,0.0012966,0.0220422,0.00032415,0.0191247,0.0084279,0.07260905,0.00421395,0,0.0337113,0.0019449,0.0006483,0.0090762,0.029822,0,0.06774705,0.01231765,0.01653165,0.00518635,0.00291735,0.00615885,0,0.008752,0,0.0068071
obama1025a.txt,0.00247171,0,0.00847458,0.0494352,0.0021186,0,0.00070621,0,0.00035311,0.0014124,0.00953391,0.00741521,0.0289551,0.01129939,0.02295195,0.006356,0.00070622,0.00035311,0.01553671,0.0031779,0.00282491,0.00211861,0.00600281,0.00035311,0,0.0010593,0.06673705,0.02189243,0.00035311,0,0.00105933,0.01588974,0,0.06991463,0,0.04025397,0.0127119,0,0.0010593,0.0024717,0.00105933,0.00282483,0.0197739,0.00035311,0.0180084,0.01129941,0.07309214,0.00529663,0.00035311,0.03460439,0.00211862,0.00035311,0.00953393,0.026836,0.00035311,0.06426504,0.01271183,0.01553663,0.00494345,0.0042373,0.00388421,0,0.01200562,0.00035311,0.0084745
obama1025b.txt,0.00405957,0,0.00757779,0.05033868,0.002977,0.0016238,0.00243577,0.00054127,0.00054127,0.0024357,0.00920164,0.005954,0.0273338,0.0102842,0.03112342,0.0070366,0.00054128,0.00027064,0.01326114,0.00216514,0.00297697,0.00081191,0.00405954,0.0016238,0,0.0013532,0.0692827,0.02354531,0.00081192,0,0.00081192,0.0129905,0,0.06684722,0,0.0381598,0.01623807,0,0.00054127,0.00297698,0.00027064,0.00270633,0.01813265,0.00054127,0.02056834,0.01055488,0.07171832,0.00541273,0,0.03545319,0.00135319,0.0010825,0.01001351,0.028958,0,0.06603534,0.01001355,0.01759139,0.00541273,0.00243574,0.00595394,0.00027064,0.0070365,0.00054127,0.00622465
obama1027.txt,0.0024368,0,0.0067012,0.0536094,0.0024368,0.0033506,0.0021322,0,0.0003046,0.0033506,0.0100518,0.0073104,0.0332012,0.0115748,0.0201036,0.0057874,0.0009138,0.001523,0.0161438,0.001523,0.0027414,0.0024368,0.0033506,0.0012184,0,0.0018276,0.076454,0.028937,0.003046,0,0.0018276,0.013707,0,0.0788914,0.0006092,0.0408164,0.0100518,0,0.0009138,0.0009138,0.0003046,0.0042644,0.0179714,0.0006092,0.018276,0.0100518,0.0578738,0.0048736,0,0.035029,0.0036552,0,0.0088334,0.021017,0.0003046,0.0539142,0.010661,0.0149254,0.0048736,0.001523,0.0039598,0,0.0112702,0.0006092,0.0100518
obama1101.txt,0.00472284,0.00049714,0.00845144,0.06189411,0.0044743,0.0014914,0.00347998,0.00049714,0,0.0027343,0.00571708,0.0096942,0.0417596,0.00969426,0.02212272,0.0059657,0.00049714,0,0.0171514,0.00198861,0.0039771,0.00298281,0.00348,0.0012429,0.00074571,0.0014914,0.07656052,0.02808847,0.00049714,0,0.00422573,0.01218,0,0.08028856,0.00049714,0.04524002,0.01143421,0.00049714,0.00447429,0.00323142,0.00074571,0.00347998,0.01789715,0.00049714,0.01068858,0.00621435,0.04847094,0.00695995,0.00024857,0.03181701,0.00173999,0.00049714,0.00919703,0.020134,0.00024857,0.0526968,0.00646287,0.01068851,0.00546852,0.00546858,0.00422574,0.00049714,0.01193141,0.00024857,0.00720862
obama1102.txt,0.00474611,0,0.00854296,0.06051242,0.0026103,0.00071191,0.0042715,0.00071191,0,0.0033223,0.0073564,0.0102041,0.0348834,0.00878016,0.01874692,0.00617,0.00047461,0.0002373,0.01518741,0.00261031,0.00213571,0.0014238,0.003085,0.0011865,0.00047461,0.0018984,0.08044598,0.02752712,0.0004746,0,0.00237304,0.00878016,0,0.07522487,0.00047461,0.04342658,0.01566209,0,0.00213571,0.00213574,0.00071191,0.00355951,0.01945901,0.00047461,0.0142382,0.00854291,0.05386723,0.0052206,0.0002373,0.03132408,0.00166112,0.0002373,0.00783106,0.023493,0,0.05671544,0.00806833,0.01945884,0.00450877,0.00450876,0.00854291,0.0002373,0.0083057,0,0.010204
obama1102b.txt,0.00454639,0.0002165,0.00757746,0.05520699,0.0023815,0.0015155,0.00303099,0.00064949,0.00064949,0.002598,0.00909289,0.0084434,0.03464,0.01104145,0.01948477,0.0062785,0.00151549,0.000433,0.01818579,0.00368049,0.003897,0.00173199,0.002598,0.0010825,0.0002165,0.002598,0.07360851,0.02381485,0.00129899,0,0.00216496,0.00779398,0,0.08594994,0,0.03983578,0.01234035,0,0.00281448,0.00173199,0.00086599,0.003031,0.01558788,0.00064949,0.01428899,0.00692799,0.05282554,0.00736096,0.0002165,0.02836133,0.00173198,0.0002165,0.00887648,0.018835,0,0.04892861,0.00952597,0.0168868,0.00411344,0.00259798,0.00606188,0.0002165,0.0088763,0,0.0093094
obama1103b.txt,0.0031011,0,0.00715635,0.0558208,0.002624,0.0011927,0.00214695,0,0.00023855,0.0019084,0.0062023,0.0093034,0.0333972,0.00834915,0.0202766,0.0050095,0.0009542,0.0014313,0.01502855,0.002624,0.0021469,0.00238545,0.0040553,0.0011927,0.00023855,0.0031011,0.0722803,0.02123085,0.0004771,0,0.00214695,0.0078721,0,0.09255675,0,0.03697495,0.00882625,0,0.00310115,0.0019084,0.00119275,0.0031011,0.01979925,0,0.0128815,0.00763355,0.04937975,0.0054866,0.00023855,0.0288643,0.00071565,0.0004771,0.00667925,0.019323,0,0.05391175,0.00739495,0.01359725,0.00548665,0.0040553,0.00930345,0.0004771,0.007395,0.00023855,0.009542
