Speeches,we_PPSS,that_CS,this_DT,will_MD,that_DT,that's_DT,my_PP$,he_PPS,has_HVZ,because_CS,we've_PPSS,so_CS,his_PP$,why_WRB,senator_NN,college_NN,life_NN,most_QL,folks_NNS,everybody_PN,laughter_NP,percent_NN,business_NN,history_NN,mccain_NP,dollars_NNS,chance_NN,obama_NP,clinton_NP,wrong_JJ,interests_NNS,record_NN,bad_JJ,direction_NN,sick_JJ,spending_NN,greater_JJR,cause_NN,elected_VBN,courage_NN,wealth_NN,case_NN,roads_NNS,increase_NN,reforms_NNS,win/loss,Reduced by correlation then RFL
2002bush020130.txt,0.012319,0.007919,0.0061593,0.0052794,0.0024197,0.0028597,0.0024197,0.0021997,0.0017598,0.0019798,0.0026397,0.00065992,0.00087989,0.00087989,0.00065992,0,0.00087989,0.00065992,0,0,0.0028597,0,0,0.00087989,0.00043995,0,0.00065992,0,0,0,0,0,0.00043995,0,0,0,0,0,0.00021997,0,0,0,0,0,0,1,
2002bush020617.txt,0.01247,0.0080166,0.0065321,0.0080166,0.0035629,0.0020784,0.0023753,0.00089074,0.0017815,0.00059382,0.0029691,0.0038599,0.0011876,0.00089074,0,0,0.00029691,0.00059382,0,0.00059382,0.00089074,0.00059382,0.00059382,0,0,0,0.00059382,0,0,0,0,0,0,0,0,0,0.00089074,0,0,0.00029691,0,0,0,0.00029691,0,1,
2002bush020814.txt,0.013524,0.0087619,0.004,0.0026667,0.0019048,0.0019048,0.0017143,0.00019048,0.0019048,0.0013333,0.0022857,0.0015238,0.00038095,0.00019048,0,0,0.0011429,0.0007619,0.00095238,0.00038095,0.00038095,0.00019048,0.0011429,0.00019048,0,0.00019048,0.00019048,0,0,0.0007619,0.0007619,0,0.00038095,0.00019048,0,0.0007619,0.00038095,0,0,0.00019048,0,0,0,0.00019048,0.00038095,1,
2002bush021005.txt,0.017699,0.0069408,0.0074614,0.0031234,0.0032969,0.0015617,0.0027763,0.0017352,0.0015617,0.0017352,0.0013882,0.00052056,0.0010411,0.0008676,0.00017352,0,0.0008676,0.00069408,0.00034704,0.00069408,0.0010411,0.00017352,0.00052056,0.00034704,0.00017352,0.00017352,0.00052056,0,0,0.00034704,0,0,0,0,0,0.00017352,0.00017352,0,0,0,0.00017352,0.00017352,0,0.00034704,0.00017352,1,
2002bush030128.txt,0.013505,0.0057642,0.006917,0.0083992,0.0018116,0,0.00065876,0.0034585,0.004776,0.00065876,0.00049407,0.00016469,0.0014822,0.00016469,0,0,0.0013175,0.00082345,0,0.00016469,0,0.00032938,0.00016469,0.00082345,0,0,0.00032938,0,0,0,0.00016469,0.00016469,0,0,0,0.00032938,0.00049407,0.00065876,0,0.00032938,0.00016469,0.00032938,0,0,0.00016469,1,
2002bush040120.txt,0.012246,0.0046568,0.0067265,0.0067265,0.0017247,0.00017247,0.0015523,0,0.002932,0.00086237,0.00051742,0.0017247,0.00051742,0,0,0.00017247,0.00068989,0.0012073,0,0,0,0.00068989,0.00017247,0.00017247,0,0.00051742,0.00017247,0,0.00017247,0.00034495,0,0,0,0,0,0.00034495,0.00051742,0.00068989,0.00017247,0.00068989,0,0,0,0.00034495,0.00017247,1,
2004bush040126.txt,0.0078373,0.0061698,0.0043355,0.0025013,0.0028348,0.0031683,0.0011673,0.005336,0.0015008,0.0028348,0.0015008,0.001334,0.000667,0.00050025,0.00016675,0,0.0015008,0.00083375,0,0.0003335,0.0018343,0.0015008,0.0016675,0,0,0,0.0003335,0,0,0,0,0,0.0003335,0,0,0,0,0,0,0,0.00016675,0.00050025,0,0.00016675,0,1,
2004bush040131.txt,0.026316,0.0064447,0.0064447,0.0021482,0.0026853,0.0021482,0.0026853,0.00053706,0.00053706,0.00053706,0.0032223,0.0016112,0,0,0,0,0.0010741,0.0010741,0.00053706,0,0.0016112,0,0.00053706,0.00053706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053706,0,0,0,1,
2004bush040209.txt,0.01001,0.0051973,0.0069297,0.0021174,0.0028874,0.0051973,0.0021174,0.0023099,0.0015399,0.0019249,0.0017324,0.0019249,0.0015399,0.00076997,0,0.00057748,0.001155,0.00076997,0.00076997,0.001155,0.0026949,0,0.0017324,0,0,0,0.00038499,0,0,0.00019249,0,0,0.00038499,0,0,0,0,0.00019249,0,0,0,0,0,0.00038499,0,1,
2004bush040304.txt,0.012289,0.0049155,0.0039939,0.00092166,0.0026114,0.0050691,0.0019969,0.0050691,0.0013825,0.0019969,0.0018433,0.0024578,0.0021505,0.0010753,0,0.00061444,0.00076805,0.00030722,0.00030722,0.00061444,0.0043011,0.00015361,0.0018433,0,0,0.00015361,0,0,0,0,0,0,0.00030722,0,0,0,0.00015361,0,0,0,0.00015361,0.00030722,0,0.00046083,0,1,
2004bush040419.txt,0.015822,0.0074062,0.004208,0.0033664,0.0025248,0.0026931,0.00084161,0.0018515,0.00084161,0.0026931,0.0021882,0.0016832,0.00050497,0.0016832,0.00033664,0,0.0011783,0,0,0,0.0020199,0.00033664,0.00016832,0,0,0,0.00050497,0,0,0.00033664,0,0,0.00016832,0,0,0,0,0,0.00016832,0.00016832,0,0.00033664,0,0,0,1,
