Words,PCA dimension 0,PCA dimension 1,,because_CS,,obama_NP,Level 0,obama_NP,Overall Importance
iraq_NP,0.003167401,0.004580642,,stay_VB,,drug_NN,,ones_NNS,
obama_NP,0.004008645,0.001209549,,started_VBD,,keep_VB,,least_AP,
americans_NPS,-0.019810076,0.003839592,,saw_VBD,,like_VB,,drugs_NNS,
today_NR,-0.009061482,0.004169179,,said_VBD,,with_IN,,differences_NNS,
home_NR,0.003056733,-0.002980117,,work_NN,,at_IN,,less_QL,
first_OD,-0.001053463,-0.000108571,,generation_NN,,i'm_PPSS,,got_VBD,
our_PP$,-0.177741565,0.027746426,,months_NNS,,again_RB,,having_HVG,
their_PP$,-0.060955207,0.002485365,,wealthy_JJ,,serve_VB,,known_VBN,
your_PP$,-0.042418806,-0.026146757,,million_CD,,poverty_NN,,each_DT,
my_PP$,-0.046129446,-0.001898477,,skills_NNS,,,,applause_NN,
his_PP$,-0.014531137,0.004713199,,wants_VBZ,,,,share_NN,
its_PP$,0.000735711,0.008447683,,know_VB,,,,so_CS,
you_PPO,-0.054809175,-0.033863225,,philosophy_NN,,,,worker_NN,
it_PPO,-0.046499551,-0.01873043,,move_VB,,,,mission_NN,
us_PPO,-0.032654253,-0.003129409,,grow_VB,,,,without_IN,
them_PPO,-0.024567622,-0.001795244,,states_NNS,,,,was_BEDZ,
me_PPO,-0.020437221,-0.011011146,,standing_VBG,,,,question_NN,
it_PPS,-0.069964679,0.00051307,,giving_VBG,,,,drug_NN,
he_PPS,-0.03843553,-0.00421783,,passed_VBD,,,,at_IN,
it's_PPS,-0.030926723,-0.016094315,,romney_NN,,,,spirit_NN,
we_PPSS,-0.278474254,-0.044031161,,building_VBG,,,,that_CS,
i_PPSS,-0.226820655,-0.054570456,,uniform_NN,,,,sick_JJ,
you_PPSS,-0.082484482,-0.059321788,,community_NN,,,,country_NN,
they_PPSS,-0.069136335,-0.011906088,,i've_PPSS,,,,had_HVD,
we're_PPSS,-0.017112391,-0.019835574,,outstanding_JJ,,,,deserve_VB,
i'm_PPSS,-0.016689601,-0.019338922,,worked_VBD,,,,used_VBN,
we've_PPSS,-0.01090497,-0.01808718,,pay_VB,,,,liberty_NN,
i've_PPSS,-0.00086425,-0.005203396,,talking_VBG,,,,lose_VB,
you're_PPSS,0.001984325,-0.009288061,,fighting_VBG,,,,prices_NNS,
we'll_PPSS,0.001802475,-0.002087111,,say_VB,,,,even_RB,
more_QL,-0.005254748,0.002322215,,street_NN,,,,join_VB,
so_QL,-0.004909908,0.000714712,,investments_NNS,,,,require_VB,
as_QL,0.000900431,0.002829658,,got_VBN,,,,poverty_NN,
very_QL,0.000641164,0.000503985,,means_VBZ,,,,retirement_NN,
right_QL,0.00313679,-0.005966587,,recession_NN,,,,every_AT,
too_QL,0.001331543,0.003076176,,renewable_JJ,,,,reform_NN,
most_QL,0.00225109,0.004515272,,lobbyists_NNS,,,,since_CS,
when_WRB,-0.045895274,-0.00876356,,it's_NP$,,,,decision_NN,
now_RB,-0.029035534,-0.01474086,,stake_NN,,,,resources_NNS,
just_RB,-0.029395539,-0.01270956,,member_NN,,,,stronger_JJR,
here_RB,-0.026989013,-0.013949486,,dream_NN,,,,crisis_NN,
back_RB,-0.008634871,-0.011698092,,doesn't_DOZ,,,,change_NN,
where_WRB,-0.008873553,-0.001864487,,do_DO,,,,,
also_RB,-0.0095753,0.001956746,,infrastructure_NN,,,,,
why_WRB,-0.005632576,-0.006468487,,month_NN,,,,,
together_RB,-0.005203313,-0.00256902,,being_BEG,,,,,
how_WRB,-0.0026984,-0.005611883,,put_VBD,,,,,
so_RB,-0.002584727,-0.001903967,,comes_VBZ,,,,,
still_RB,0.000283778,-0.000882667,,something_PN,,,,,
then_RB,0.000716151,-0.00284411,,may_MD,,,,,
even_RB,-0.000229998,0.001763851,,happens_VBZ,,,,,
never_RB,-0.00185268,0.004030609,,decades_NNS,,,,,
again_RB,0.001766435,0.000111262,,are_BER,,,,,
about_RB,0.002310285,-0.003035073,,you_PPO,,,,,
well_RB,0.002368564,-0.000560381,,applause_NN,,,,,
only_RB,0.001774076,0.00478016,,she_PPS,,,,,
always_RB,0.003914941,0.00235875,,works_VBZ,,,,,
more_RBR,-0.000325774,0.000834022,,relief_NN,,,,,
_RN,0.001019573,0.000914939,,1_CD,,,,,
up_RP,-0.027131822,-0.013090696,,out_RP,,,,,
out_RP,-0.015241955,-0.008513012,,finally_RB,,,,,
down_RP,-0.001599569,-0.004604283,,trying_VBG,,,,,
to_TO,-0.44017074,-0.094961816,,compete_VB,,,,,
make_VB,-0.035576499,-0.017679192,,over_IN,,,,,
want_VB,-0.025470118,-0.024739371,,where_WRB,,,,,
know_VB,-0.025755329,-0.009985859,,turn_VB,,,,,
need_VB,-0.022305793,-0.010054349,,start_VB,,,,,
get_VB,-0.017056576,-0.015383801,,challenges_NNS,,,,,
believe_VB,-0.009164818,-0.003844991,,led_VBD,,,,,
go_VB,-0.005704167,-0.011951334,,i'd_PPSS,,,,,
work_VB,-0.005625087,-0.008239624,,research_NN,,,,,
help_VB,-0.008535095,-0.001893006,,fought_VBD,,,,,
give_VB,-0.006073851,-0.006721389,,understand_VB,,,,,
say_VB,-0.004336128,-0.006302955,,love_VB,,,,,
take_VB,-0.004915806,-0.002338273,,lot_NN,,,,,
think_VB,-0.001737883,-0.006625569,,well_UH,,,,,
keep_VB,-0.003021764,-0.0055091,,rebuild_VB,,,,,
thank_VB,-0.006878364,-0.000601087,,to_TO,,,,,
let_VB,-0.000633631,-0.003662225,,helping_VBG,,,,,
pay_VB,-0.000431095,-0.005137322,,wouldn't_MD,,,,,
see_VB,0.000506745,-0.002944414,,that_WPS,,,,,
come_VB,-0.001079943,-0.002960556,,home_NR,,,,,
create_VB,0.000416078,-0.002889007,,about_RB,,,,,
got_VBD,-0.008535017,-0.023290215,,think_VB,,,,,
said_VBD,-0.005340747,-0.009508971,,met_VBD,,,,,
going_VBG,-0.026579715,-0.032026671,,education_NN,,,,,
working_VBG,-0.001423413,-0.003136143,,more_AP,,,,,
making_VBG,0.002545034,-0.003726048,,manufacturing_VBG,,,,,
united_VBN,-0.006890529,-0.000612693,,industry_NN,,,,,
done_VBN,0.00332759,-0.000853722,,matter_NN,,,,,
what_WDT.,-0.050902015,-0.025928892,,struggling_VBG,,,,,
which_WDT.,-8.52052E-05,0.002313485,,mother_NN,,,,,
that_WPS,-0.084933074,0.000499079,,deal_NN,,,,,
who_WPS,-0.06681805,-0.006904621,,streets_NNS,,,,,
,,,,couldn't_MD,,,,,
,,,,last_AP,,,,,
,,,,moment_NN,,,,,
,,,,vote_VB,,,,,
,,,,talk_VB,,,,,
,,,,harder_RBR,,,,,
,,,,road_NN,,,,,
,,,,strong_JJ,,,,,
,,,,end_VB,,,,,
,,,,around_IN,,,,,
,,,,union_NN,,,,,
,,,,millions_NNS,,,,,
,,,,seniors_NNS,,,,,
,,,,thousands_NNS,,,,,
,,,,heard_VBD,,,,,
,,,,woman_NN,,,,,
,,,,coming_VBG,,,,,
,,,,her_PP$,,,,,
,,,,bit_NN,,,,,
,,,,far_RB,,,,,
,,,,hear_VB,,,,,
,,,,walk_VB,,,,,
,,,,since_IN,,,,,
,,,,afghanistan_NP,,,,,
,,,,american_JJ,,,,,
,,,,past_NN,,,,,
,,,,threat_NN,,,,,
,,,,too_QL,,,,,
,,,,rates_NNS,,,,,
,,,,even_RB,,,,,
,,,,greatest_JJT,,,,,
,,,,policy_NN,,,,,
,,,,school_NN,,,,,
,,,,stronger_JJR,,,,,
,,,,mission_NN,,,,,
