because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
interest_NN,0.132902474,,,,,interest_NN,0.132902474,,interest_NN,0.132902474,,try_VB,0.234084846,,,,,,,,,,,,,,,,
to_TO,0.132682396,,,,,to_TO,0.132682396,,to_TO,0.132682396,,deficit_NN,0.233529517,,,,,,,,,,,,,,,,
longer_RBR,0.132128452,,,,,longer_RBR,0.132128452,,longer_RBR,0.132128452,,down_RP,0.23338286,,,,,,,,,,,,,,,,
available_JJ,0.131480725,,,,,available_JJ,0.131480725,,available_JJ,0.131480725,,main_JJS,0.233094907,,,,,,,,,,,,,,,,
challenge_NN,0.130012657,,,,,challenge_NN,0.130012657,,challenge_NN,0.130012657,,hard_RB,0.232590592,,,,,,,,,,,,,,,,
that_WPS,0.129545376,,,,,that_WPS,0.129545376,,that_WPS,0.129545376,,able_JJ,0.232172336,,,,,,,,,,,,,,,,
streets_NNS,0.124807066,,,,,streets_NNS,0.124807066,,streets_NNS,0.124807066,,change_NN,0.232098805,,,,,,,,,,,,,,,,
drug_NN,0.124397965,,,,,drug_NN,0.124397965,,,,,see_VB,0.231969635,,,,,,,,,,,,,,,,
spending_VBG,0.119473344,,,,,spending_VBG,FALSE,,,,,tuition_NN,0.229055565,,,,,,,,,,,,,,,,
access_NN,0.117282169,,,,,access_NN,FALSE,,,,,there's_EX,0.228729408,,,,,,,,,,,,,,,,
join_VB,0.11673118,,,,,join_VB,FALSE,,,,,what's_WDT.,0.228371661,,,,,,,,,,,,,,,,
system_NN,0.115690332,,,,,system_NN,FALSE,,,,,10_CD,0.226938317,,,,,,,,,,,,,,,,
decision_NN,0.107549152,,,,,decision_NN,FALSE,,,,,bless_VB,0.225808142,,,,,,,,,,,,,,,,
reform_NN,0.095571425,,,,,reform_NN,FALSE,,,,,same_AP,0.225402863,,,,,,,,,,,,,,,,
